"unifiedcl"|"rvindicator"|"chkey"|"chunifiedkey"
"CH"|"No "|72024354|133850980
"SC"|"No "|72024354|133850981
"CL"|"Yes"|72024354|133850982
"CH"|"Yes"|72024762|133851778
"CL"|"No "|72024762|133851779
"CL"|"Yes"|72024763|133851780
"SM"|"No "|72024763|133851781
"CH"|"Yes"|72024761|133851776
"SC"|"No "|72024761|133851777
"SC"|"No "|72025010|133852259
"CL"|"Yes"|72025010|133852260
"SC-SM"|"No "|72025009|133852257
"SC"|"Yes"|72025009|133852258
"CL"|"Yes"|72024954|133852151
"SC-SM"|"No "|72024954|133852152
"ML"|"Yes"|72024955|133852153
"CL-ML"|"No "|72024955|133852154
"SM"|"No "|72024955|133852155
"CL-ML"|"No "|72025112|133852464
"SM"|"No "|72025112|133852465
"ML"|"Yes"|72025112|133852466
"SC"|"Yes"|72025114|133852470
"CL"|"No "|72025114|133852471
"SM"|"No "|72025114|133852472
"CL"|"Yes"|72025115|133852473
"ML"|"Yes"|72025113|133852467
"CL-ML"|"No "|72025113|133852468
"SM"|"No "|72025113|133852469
"CH"|"No "|72024768|133851791
"CL"|"Yes"|72024768|133851792
"CL"|"Yes"|72024769|133851793
"CH"|"No "|72024769|133851794
"SM"|"No "|72024766|133851785
"CL-ML"|"No "|72024766|133851786
"ML"|"Yes"|72024766|133851787
"CL-ML"|"No "|72024767|133851788
"SM"|"No "|72024767|133851789
"ML"|"Yes"|72024767|133851790
"CH"|"Yes"|72024770|133851795
"CH"|"Yes"|72025148|133852533
"CL"|"Yes"|72025146|133852529
"CH"|"No "|72025146|133852530
"CL"|"Yes"|72025145|133852527
"SM"|"No "|72025145|133852528
"CH"|"No "|72025147|133852531
"CL"|"Yes"|72025147|133852532
"CL"|"Yes"|72025151|133852539
"CH"|"No "|72025155|133852545
"CL"|"Yes"|72025155|133852546
"CL"|"No "|72025153|133852541
"CH"|"Yes"|72025153|133852542
"CL"|"Yes"|72025152|133852540
"SM"|"No "|72025150|133852536
"CL-ML"|"No "|72025150|133852537
"ML"|"Yes"|72025150|133852538
