"aashtocl"|"rvindicator"|"chkey"|"chaashtokey"
"A-4"|"Yes"|72052013|117744245
"A-4"|"Yes"|72052014|117744246
"A-4"|"No "|72051556|117743422
"A-2-4"|"Yes"|72051556|117743423
"A-2-4"|"Yes"|72051555|117743421
"A-4"|"No "|72051557|117743424
"A-2-4"|"Yes"|72051557|117743425
"A-2-4"|"Yes"|72051542|117743396
"A-4"|"No "|72051542|117743397
"A-2-4"|"Yes"|72051541|117743394
"A-4"|"No "|72051541|117743395
"A-4"|"Yes"|72051543|117743398
"A-2-4"|"No "|72051543|117743399
"A-4"|"Yes"|72051892|117744031
"A-6"|"No "|72051892|117744032
"A-6"|"Yes"|72051893|117744033
"A-4"|"No "|72051893|117744034
"A-2-4"|"No "|72051894|117744035
"A-6"|"Yes"|72051894|117744036
"A-4"|"No "|72051895|117744037
"A-2-4"|"No "|72051895|117744038
"A-6"|"Yes"|72051895|117744039
"A-2-4"|"No "|72051891|117744029
"A-4"|"Yes"|72051891|117744030
"A-7-6"|"No "|72051896|117744040
"A-6"|"Yes"|72051896|117744041
"A-7-6"|"Yes"|72051884|117744015
"A-7-5"|"No "|72051884|117744016
"A-4"|"No "|72051884|117744017
"A-7-6"|"Yes"|72051886|117744020
"A-7-5"|"No "|72051886|117744021
"A-4"|"No "|72051886|117744022
"A-4"|"Yes"|72051883|117744013
"A-2-4"|"No "|72051883|117744014
"A-4"|"Yes"|72051885|117744018
"A-2-4"|"No "|72051885|117744019
"A-6"|"Yes"|72051719|117743710
"A-7-6"|"No "|72051719|117743711
"A-2-6"|"No "|72051719|117743712
"A-4"|"Yes"|72051717|117743707
"A-1-b"|"No "|72051717|117743708
"A-7-6"|"Yes"|72051718|117743709
"A-6"|"Yes"|72051675|117743636
"A-7-6"|"No "|72051675|117743637
"A-2-4"|"No "|72051675|117743638
"A-7-6"|"Yes"|72051674|117743634
"A-6"|"No "|72051674|117743635
"A-4"|"Yes"|72051676|117743639
"A-4"|"No "|72051490|117743290
"A-6"|"Yes"|72051490|117743291
"A-1-b"|"No "|72051487|117743281
"A-4"|"No "|72051487|117743282
"A-2-4"|"Yes"|72051487|117743283
"A-1-b"|"No "|72051488|117743284
"A-4"|"No "|72051488|117743285
"A-2-4"|"Yes"|72051488|117743286
"A-7-6"|"Yes"|72051489|117743287
"A-7-5"|"No "|72051489|117743288
"A-4"|"No "|72051489|117743289
"A-6"|"Yes"|72051492|117743294
"A-4"|"No "|72051492|117743295
"A-6"|"Yes"|72051491|117743292
"A-4"|"No "|72051491|117743293
"A-2-4"|"Yes"|72052067|117744336
"A-4"|"No "|72052067|117744337
"A-2-4"|"Yes"|72052069|117744341
"A-4"|"No "|72052069|117744342
"A-6"|"Yes"|72052068|117744338
"A-7-6"|"No "|72052068|117744339
"A-2-4"|"No "|72052068|117744340
"A-2-4"|"Yes"|72052151|117744491
"A-4"|"No "|72052151|117744492
"A-2-4"|"Yes"|72052150|117744489
"A-4"|"No "|72052150|117744490
"A-7-6"|"No "|72052149|117744486
"A-2-4"|"No "|72052149|117744487
"A-6"|"Yes"|72052149|117744488
"A-7-6"|"Yes"|72051678|117743641
"A-6"|"No "|72051678|117743642
"A-4"|"Yes"|72051677|117743640
"A-7-6"|"Yes"|72051680|117743645
"A-6"|"No "|72051680|117743646
"A-7-6"|"Yes"|72051679|117743643
